2025-04-08T16:46:38.462Z | block 28670722 | Opp #22 | UNI=1496.5974 | SUSHI=1496.7286 | AAVE=1497.7069 | BA=-0.0741% | DS=0.0088% | TOTALbps=-6.54 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:46:42.383Z | block 28670724 | Opp #23 | UNI=1496.8926 | SUSHI=1496.7807 | AAVE=1497.7069 | BA=-0.0619% | DS=0.0075% | TOTALbps=-5.44 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:46:46.794Z | block 28670726 | Opp #24 | UNI=1497.6913 | SUSHI=1497.3093 | AAVE=1497.7069 | BA=-0.0266% | DS=0.0255% | TOTALbps=-0.10 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:46:50.656Z | block 28670728 | Opp #25 | UNI=1497.6208 | SUSHI=1497.3093 | AAVE=1497.7069 | BA=-0.0266% | DS=0.0208% | TOTALbps=-0.58 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:46:54.887Z | block 28670730 | Opp #26 | UNI=1497.6208 | SUSHI=1497.3093 | AAVE=1497.7069 | BA=-0.0266% | DS=0.0208% | TOTALbps=-0.58 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:46:58.743Z | block 28670733 | Opp #27 | UNI=1496.7874 | SUSHI=1497.0404 | AAVE=1497.7069 | BA=-0.0614% | DS=0.0169% | TOTALbps=-4.45 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:47:02.802Z | block 28670734 | Opp #28 | UNI=1496.3184 | SUSHI=1496.2404 | AAVE=1497.7069 | BA=-0.0980% | DS=0.0052% | TOTALbps=-9.28 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:47:07.037Z | block 28670737 | Opp #29 | UNI=1496.2539 | SUSHI=1496.2404 | AAVE=1497.7069 | BA=-0.0980% | DS=0.0009% | TOTALbps=-9.71 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:47:11.066Z | block 28670739 | Opp #30 | UNI=1496.2539 | SUSHI=1496.2404 | AAVE=1497.7069 | BA=-0.0980% | DS=0.0009% | TOTALbps=-9.71 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:47:15.192Z | block 28670741 | Opp #31 | UNI=1496.1020 | SUSHI=1496.1310 | AAVE=1497.7069 | BA=-0.1073% | DS=0.0019% | TOTALbps=-10.53 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:47:19.165Z | block 28670743 | Opp #32 | UNI=1496.0375 | SUSHI=1496.1310 | AAVE=1497.7069 | BA=-0.1116% | DS=0.0062% | TOTALbps=-10.53 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:47:23.311Z | block 28670745 | Opp #33 | UNI=1496.0375 | SUSHI=1496.1310 | AAVE=1497.7069 | BA=-0.1116% | DS=0.0062% | TOTALbps=-10.53 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:47:27.347Z | block 28670747 | Opp #34 | UNI=1495.6776 | SUSHI=1495.8454 | AAVE=1497.7069 | BA=-0.1357% | DS=0.0112% | TOTALbps=-12.45 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:47:31.423Z | block 28670749 | Opp #35 | UNI=1493.5142 | SUSHI=1493.5932 | AAVE=1497.7069 | BA=-0.2807% | DS=0.0053% | TOTALbps=-27.54 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:47:35.864Z | block 28670751 | Opp #36 | UNI=1493.2609 | SUSHI=1493.3314 | AAVE=1497.7069 | BA=-0.2977% | DS=0.0047% | TOTALbps=-29.30 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:47:39.724Z | block 28670753 | Opp #37 | UNI=1492.4650 | SUSHI=1492.8000 | AAVE=1497.7069 | BA=-0.3512% | DS=0.0225% | TOTALbps=-32.88 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:47:43.802Z | block 28670755 | Opp #38 | UNI=1492.4650 | SUSHI=1492.8000 | AAVE=1494.4609 | BA=-0.1337% | DS=0.0224% | TOTALbps=-11.13 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:47:47.988Z | block 28670756 | Opp #39 | UNI=1492.0427 | SUSHI=1491.7712 | AAVE=1494.4609 | BA=-0.1803% | DS=0.0182% | TOTALbps=-16.21 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:47:52.028Z | block 28670759 | Opp #40 | UNI=1492.0840 | SUSHI=1491.8307 | AAVE=1494.4609 | BA=-0.1763% | DS=0.0170% | TOTALbps=-15.93 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:47:56.349Z | block 28670761 | Opp #41 | UNI=1492.4526 | SUSHI=1491.8307 | AAVE=1494.4609 | BA=-0.1763% | DS=0.0417% | TOTALbps=-13.46 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:48:00.322Z | block 28670762 | Opp #42 | UNI=1492.5197 | SUSHI=1492.3071 | AAVE=1494.4609 | BA=-0.1443% | DS=0.0142% | TOTALbps=-13.01 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:48:04.555Z | block 28670765 | Opp #43 | UNI=1492.5197 | SUSHI=1492.3527 | AAVE=1494.4609 | BA=-0.1413% | DS=0.0112% | TOTALbps=-13.01 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:48:08.316Z | block 28670766 | Opp #44 | UNI=1492.5197 | SUSHI=1492.3527 | AAVE=1494.4609 | BA=-0.1413% | DS=0.0112% | TOTALbps=-13.01 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:48:12.683Z | block 28670769 | Opp #45 | UNI=1491.9711 | SUSHI=1492.3105 | AAVE=1494.4609 | BA=-0.1669% | DS=0.0227% | TOTALbps=-14.41 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:48:16.577Z | block 28670771 | Opp #46 | UNI=1492.4225 | SUSHI=1492.3830 | AAVE=1494.4609 | BA=-0.1392% | DS=0.0026% | TOTALbps=-13.66 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:48:20.600Z | block 28670773 | Opp #47 | UNI=1493.0554 | SUSHI=1494.2933 | AAVE=1494.4609 | BA=-0.0941% | DS=0.0829% | TOTALbps=-1.12 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:48:24.814Z | Flashloan error: Error: execution reverted: "No arbitrage found on-chain" (action="estimateGas", data="0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000001b4e6f2061726269747261676520666f756e64206f6e2d636861696e0000000000", reason="No arbitrage found on-chain", transaction={ "data": "0xfb056f680000000000000000000000000000000000000000000000000de0b6b3a7640000", "from": "0xABeA4E27232E0e546a57219aD5B1c52CDE365d2D", "to": "0xf70F03064859d4dc66D4F417b0A18d179614D6C5" }, invocation=null, revert={ "args": [ "No arbitrage found on-chain" ], "name": "Error", "signature": "Error(string)" }, code=CALL_EXCEPTION, version=6.13.5)
2025-04-08T16:48:24.814Z | block 28670775 | Opp #48 | UNI=1497.6954 | SUSHI=1499.1607 | AAVE=1494.4609 | BA=0.2160% | DS=0.0978% | TOTALbps=31.38 | ROUTE=Buy Uni / Sell Sushi | ACTION=FLASHLOAN_TRIGGERED | FLASHLOANS=1
